# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
baodan	保单
baodao	报道	报到	报导
baode	报的
baodi	保底
baodian	宝典
baodie	暴跌
baoding	保定
baoe	保额
baoer	宝儿
baofa	爆发
baofale	爆发了
baofali	爆发力
baofei	保费	报废
baofeng	暴风
baofengyingyin	暴风影音
baofu	报复	包袱	暴富
baogang	宝钢
baogao	报告
baoguan	保管	报关
baoguang	曝光
baogui	宝贵
baoguo	包裹
baohan	包含
baohanle	包含了
baohaosi	包豪斯
baohe	饱和
baohedu	饱和度
baohu	保护
baohuhao	保护好
baohuo	爆火
baohuqu	保护区
baohutiaoli	保护条例
baohuziji	保护自己
baoji	暴击	宝鸡
baojia	报价
baojian	保健
baojianpin	保健品
baojie	保洁
baojing	报警
baojun	暴君
baokan	报刊
baokao	报考
baokaorenshu	报考人数
baokuan	爆款
baokuo	包括
baokuole	包括了
baolai	宝来
baolan	包揽
baole	报了	爆了
baolei	堡垒
baoli	暴力	包里	暴利	保利
baoliao	爆料
baoliu	保留
baoliuzhe	保留着
baoloule	暴露了
baolouzai	暴露在
baolu	暴露
baolule	暴露了
baoluo	保罗
baoluzai	暴露在
baoma	宝马	宝妈
baoman	饱满
baomi	保密
baomihua	爆米花
baoming	报名	保命
baomingcanjia	报名参加
baomu	保姆
baonuan	保暖
baopeng	爆棚
baopi	包皮
baopo	爆破
baoqi	抱起
baoqian	抱歉
baoquan	保全
baorong	包容
baoshan	宝山
baoshang	报上
baoshe	报社
baoshi	宝石	保湿	暴食
baoshijie	保时捷
baoshou	保守	饱受
baosong	保送	报送
baotou	包头	爆头
baotuan	抱团
baowei	包围	保卫
baowen	保温	报文
baowu	宝物
baoxian	保险	保鲜
baoxianchanpin	保险产品
baoxiang	包厢
baoxiangongsi	保险公司
baoxianhangye	保险行业
baoxianxingye	保险行业
baoxianye	保险业
baoxiao	报销	爆笑
baoxiu	保修
baoxue	暴雪
baoyan	保研
baoyang	保养	包养
baoye	报业
baoying	报应
baoyou	抱有	保佑	包邮	保有
baoyu	暴雨	宝玉	鲍鱼
baoyuan	抱怨
baoyue	包月
baozang	宝藏
baozao	暴躁
baozha	爆炸
baozhade	爆炸的
baozhang	保障	暴涨
baozhe	抱着
baozheng	保证
baozhengjin	保证金
baozhi	报纸	保值
baozhiqi	保质期
baozhong	保重
baozhu	保住	抱住
baozhuang	包装
baozi	包子	豹子
baozou	暴走
baozuo	宝座
baqi	霸气
baqian	把钱
baqiu	把球
baquan	霸权
baren	把人
basa	巴萨
basailuona	巴塞罗那
bashi	巴士	八十
bashijian	把时间
bashiniandai	八十年代
bashiqing	把事情
bashou	把手
bashu	把书
basuoyou	把所有
bata	把它	把他	把她
batamen	把他们	把它们
batele	巴特勒
batou	把头
bawang	霸王
bawangbieji	霸王别姬
bawenti	把问题
bawo	把我	把握
bawohao	把握好
bawomen	把我们
bawozhu	把握住
baxi	巴西
baya	拔牙
bayi	八一
bayige	把一个
bayixie	把一些
bayue	八月
bazhan	霸占
bazhang	巴掌
bazhe	把这
bazhege	把这个
bazhengge	把整个
bazhexie	把这些
bazhezhong	把这种
bazhu	霸主
bazi	八字
baziji	把自己
bei	被	北	背	倍	贝	备	俾	盃
beiai	悲哀
beian	备案
beianpai	被安排
beibao	背包
beibei	贝贝
beibi	卑鄙	被逼
beibian	北边
beibieren	被别人
beibu	背部	北部	被捕
beican	悲惨
beichen	北辰
beichengwei	被称爲
beichengzuo	被称作
beida	北大	被打
beidaihe	北戴河
beidajia	被大家
beidanci	背单词
beidangcheng	被当成
beidao	被盗
beidapo	被打破
beide	背的	倍的
beidigu	被低估
beidong	被动
beidou	北斗
beiduofen	贝多芬
beier	贝尔
beifa	北伐	被罚
beifang	北方
beifangren	北方人
beifaxian	被发现
beifen	备份
beifeng	被封
beifu	背负
beigan	倍感
beiganran	被感染
beigao	被告
beigaoren	被告人
beigaozhi	被告知
beigezhong	被各种
beiguan	悲观
beiguang	背光
beiguo	背锅	背过
beihai	北海
beihairen	被害人
beihang	北航
beihei	被黑
beihou	背後
beiji	北极
beijian	备件
beijing	北京	背景
beijingaoyun	北京奥运
beijingdaxue	北京大学
beijingde	北京的	背景的
beijingdiqu	北京地区
beijingren	北京人
beijingshi	北京市
beijingshijian	北京时间
beijingxia	背景下
beijingyinyue	背景音乐
beiju	悲剧	被拒
beijubao	被举报
beijude	悲剧的
beijujue	被拒绝
beikao	备考	背靠
beike	贝壳	备课
beikehanmu	贝克汉姆
beikeng	被坑
beikun	被困
beilaoshi	被老师
beile	背了
beili	背离	贝利
beiliang	悲凉
beilu	北路
beilun	悖论
beiluqu	被录取
beima	被骂
beimei	北美
beimen	北门
beimian	背面	北面
beini	被你
beiou	北欧
beipan	背叛	被判
beipen	被喷
beipian	被骗
beipo	被迫
beipohuai	被破坏
beiqing	悲情
beiqu	北区
beiquxiao	被取消
beiren	被人
beirenmen	被人们
beirenwei	被认爲
beirenweishi	被认爲是
beisha	被杀
beishang	悲伤	背上	北上
beishangde	悲伤的
beishiwei	被视爲
beishou	备受
beishu	背书	倍数
beisi	贝斯
beisishou	贝斯手
beisong	背诵	北宋
beisu	倍速
beita	被他	被她
beitai	备胎
beitamen	被他们
beitao	被套
beitaotai	被淘汰
beitong	悲痛
beiwai	北外
beiwan	背完
beiwanglu	备忘录
beiwei	卑微
beiwendao	被问到
beiwo	被我	被窝
beiwomen	被我们
beixialai	背下来
beixin	背心
beixuan	备选
beiyaoqiu	被要求
beiyewu	北野武
beiyige	被一个
beiying	背影
beiyong	备用
beiyue	北约
beiyuwei	被誉爲
beizhan	备战
beizhe	背着
beizhi	被指
beizhu	备注
beizhua	被抓
beizhuang	悲壮
beizi	杯子	被子	辈子
beiziji	被自己
ben	本	笨	奔	苯
benan	本案
benban	本版
benbanfa	本办法
benbao	本报
benbaojizhe	本报记者
benbaoxun	本报讯
benben	本本
benbo	奔波
benbu	本部
benchang	本场
benchangbisai	本场比赛
benchi	奔驰
benci	本次
bendan	笨蛋
bendanwei	本单位
bendi	本地
bendian	本店
bendihua	本地化
bendiqu	本地区
bendiren	本地人
benfa	本法
benfang	奔放
benfu	奔赴
beng	泵	蹦	崩
bengai	本该
bengdai	绷带
bengdi	蹦迪
benghuai	崩坏
benghuile	崩溃了
bengkui	崩溃
bengkuile	崩溃了
bengle	崩了
bengongsi	本公司
bengpan	崩盘
bengta	崩塌
benguo	本国
benji	本机
benjiao	本校
benjie	本届
benjin	本金
benjiu	本就
benjiushi	本就是
benkan	本刊
benke	本科
benkebiye	本科毕业
benkesheng	本科生
benkexuejiao	本科学校
benkexueli	本科学历
